recipe_id,location_id,price
1,13,11.95
1,21,9.09
1,18,11.36
1,16,5.38
1,11,9.43
2,18,11.43
2,7,11.7
3,11,2.32
3,4,5.39
3,23,9.18
3,13,13.45
4,15,6.19
4,20,12.42
5,23,13.66
6,24,4.23
6,25,6.69
6,19,13.12
6,13,12.9
7,5,6.71
7,7,10.67
8,2,4.03
8,20,13.42
9,11,9.81
9,5,9.42
9,10,12.05
9,9,11.42
9,23,7.46
9,20,10.03
10,24,10.07
10,19,13.95
10,13,12.73
10,11,10.56
11,8,6.44
11,18,11.6
11,24,10.85
11,14,11.73
11,20,11.93
12,13,8.58
12,25,5.7
12,20,12.67
13,15,8.29
13,23,4.56
13,21,10.88
13,18,8.39
14,15,6.22
14,9,10.63
14,24,8.59
15,10,11.4
16,16,11.69
16,10,4.28
16,24,11.86
16,7,8.85
17,1,6.15
17,17,9.66
18,5,6.04
18,24,11.58
18,15,11
18,23,12.05
18,1,9.42
19,7,11.28
19,16,4.47
19,19,8.87
19,20,13.42
20,23,10.61
20,4,4.09
20,21,6.08
20,17,9.01
21,10,3.07
21,8,12.04
21,16,2.63
22,15,11.82
22,18,10.11
22,21,9.38
23,17,13.2
23,19,10.08
23,20,5.17
24,22,8.83
24,6,9.82
24,19,3.1
25,15,11.34
25,16,6.64
25,1,13.4
25,7,10.17
25,13,10.13
26,25,4.6
26,23,4.08
26,16,12.71
26,5,4.11
26,18,11.6
27,2,4.85
27,25,5.79
27,4,4.21
27,21,12.28
27,11,4.33
28,17,10.11
28,15,4.42
28,18,2.99
28,7,11.37
28,21,7.12
29,13,7.32
29,3,3.87
29,14,11.41
29,19,5.31
30,15,6.37
30,5,8.34
30,16,12.7
30,22,6.54
31,10,2.4
31,11,6.74
31,1,7.75
31,22,8.82
32,19,12.71
32,11,4
33,24,10.52
33,18,5.8
33,10,13.49
33,20,2.1
33,16,9.24
33,7,6.59
34,2,9.77
35,14,3.7
35,7,5.27
35,8,7.6
35,22,11.36
35,13,10.98
37,23,5.49
37,8,13.52
37,12,3.96
37,20,4.45
38,5,8.89
39,17,10.97
39,13,4.16
39,22,8.76
39,24,2.27
39,1,13.16
40,20,2.31
41,24,12.38
41,3,13.77
41,15,7.21
41,16,4.19
42,15,6.29
42,21,7.7
42,17,12.43
43,24,5.92
43,11,9.61
44,2,7.16
44,1,2.45
44,7,6.51
44,3,8.76
44,19,11.75
45,25,8.52
46,20,8.26
46,16,5.05
46,13,3.46
47,3,5.17
47,13,11.46
47,20,11.04
47,16,4.05
47,15,13.3
47,1,5.36
48,22,7.81
48,23,4.46
48,9,11.5
49,12,12.84
49,17,6.48
49,16,5.08
50,8,9
50,7,5.72
51,20,6.5
51,13,5.15
52,22,6.18
52,7,11.08
52,12,4.05
53,17,6.01
53,20,4.66
53,23,4.5
53,22,11.79
54,14,11.66
54,16,12.68
55,4,5.46
55,14,6.01
55,12,7.71
56,23,12.55
56,22,4.5
56,14,4.51
57,4,6.93
57,14,10.86
57,7,8.84
57,10,11.18
57,21,13.02
58,3,8.93
58,2,8.9
58,22,3.52
58,21,3.04
60,8,12.39
60,11,11.43
61,21,13.57
61,10,3.44
62,17,10.5
62,19,6.63
62,13,2.29
62,6,4.1
62,23,5.22
62,24,10.32
63,20,7.37
63,10,4.03
63,21,2.74
64,23,4.92
64,19,11.4
64,2,5.38
64,1,12.92
65,23,2.71
65,21,5.92
65,25,11.7
65,17,4.8
65,12,8.72
66,17,9.21
67,3,6.71
67,17,7.71
67,4,12.65
67,19,10.17
67,15,13.39
68,22,7.68
68,5,7.01
68,24,3.05
69,6,9.23
69,16,12.8
69,2,6.58
69,20,8.38
70,11,11
70,22,9.32
70,10,13.55
70,24,12.71
71,17,9.78
71,23,4.96
72,20,3.1
72,24,12.2
72,22,6.93
72,1,12.2
72,25,4.79
73,8,9.61
73,13,2.39
74,16,9.6
74,24,13.75
74,15,13.15
74,19,4.6
75,11,8.13
75,9,8.14
75,19,7.82
75,5,4.7
76,14,4.24
77,19,3.8
77,10,11.48
77,15,13.8
77,13,5.64
77,2,2.74
77,23,3.5
78,7,7.67
78,19,4.68
79,15,6.88
79,18,4.01
79,23,5.12
80,20,5.51
80,16,12.92
80,4,4.39
81,22,2.16
82,1,6.93
82,19,7.97
82,4,12.5
83,6,5.68
83,20,9.02
83,15,7.89
84,17,7.49
84,16,6.25
84,10,3.52
85,18,5.72
85,16,3.62
85,23,13.48
85,19,2.82
85,12,6.12
86,1,4.03
86,5,12.66
86,2,7.9
86,6,3.77
86,4,11.4
86,16,5.88
87,12,11.22
87,8,4.17
87,22,2.97
88,13,11.18
88,5,2.39
88,4,4.89
88,9,5.36
89,8,13.43
89,21,4.31
89,4,11.29
90,20,13.17
90,11,3.32
90,25,6.23
90,17,12.75
90,7,11.31
91,16,10.83
92,10,13.94
92,24,2.19
92,9,4.88
94,18,8.51
94,5,9.18
94,3,3.37
94,10,5.06
95,20,2.4
95,10,12.17
95,8,10.81
96,21,6.23
96,24,2.92
96,15,11.43
97,1,3.7
97,8,6.21
97,16,4.31
97,4,2.54
97,21,13.19
98,21,7.81
98,22,9.28
98,24,13.1
98,8,7.93
99,24,3.44
99,1,11.47
100,11,4.46
100,1,12.28
100,2,10.55
100,8,13.92
101,23,13.69
101,7,9.12
101,21,10.32
101,5,3.75
101,22,9.78
101,19,6.31
103,17,13.26
103,3,3.44
103,5,12.24
103,16,11.21
103,21,3.26
104,10,13.52
104,8,11.46
104,21,6.55
104,9,8.68
104,19,10.55
104,13,9.36
104,24,3.49
105,23,4.44
105,22,12.24
105,16,8.26
105,24,6.98
105,14,2.31
105,13,9.23
106,13,2.47
106,11,2.75
107,17,6.11
107,18,9.73
107,24,5.74
107,9,11.29
108,21,4.74
108,1,5.54
108,13,4.95
108,16,2.56
108,3,13.32
108,7,10.58
109,20,5.15
109,24,2.24
109,8,11.75
109,23,7.85
109,10,13.36
111,5,2.39
111,13,3.89
111,7,11.05
111,9,12.21
111,15,8.73
111,8,8.81
112,23,8.78
112,19,13.8
112,16,9.14
112,5,8.27
112,20,11.59
112,22,6.7
112,9,10
113,8,7.36
113,16,2.94
113,18,9.38
114,24,12.71
115,19,8.17
115,4,9.14
115,2,6.79
115,11,13.66
116,15,10.56
117,10,3.76
117,17,9.32
117,12,7.23
118,1,7.34
118,11,10.29
118,3,7.64
118,13,10.86
118,22,10.61
118,9,6.48
119,17,12.58
119,4,2.45
119,9,12.74
119,12,8.16
119,21,6.08
120,10,11.22
121,24,2.24
121,2,11.58
121,1,5.94
121,9,7.2
121,10,8.1
122,13,2.31
122,23,9.78
123,9,5.34
123,19,2.92
123,2,3.96
123,13,12.37
123,6,2.58
124,13,12.09
124,5,10.12
124,15,5.84
124,19,4.94
124,11,7.1
125,9,6.57
125,4,13.76
125,15,8.81
125,22,2.2
126,10,3.56
127,16,4.47
127,19,6.07
127,24,7.83
127,20,2.52
128,22,8.94
128,17,8.33
128,4,9.47
129,3,9.99
130,16,5.52
130,23,3.39
131,13,7.2
131,14,4.21
131,1,6.7
131,7,3.69
131,3,5.14
131,23,11.91
132,15,2.91
132,1,10.04
133,4,7.24
133,7,4.06
134,16,7.04
134,7,7.42
134,2,2.25
135,5,3
135,13,7.53
135,20,5.62
136,11,10.08
136,17,9.26
136,3,7.45
136,18,2.2
136,15,3.57
136,23,2.76
137,15,8.6
137,10,2.02
138,18,7.96
138,1,13.52
138,10,10.71
138,24,3.44
138,13,7.1
139,2,10.82
139,21,12.59
139,6,6.77
139,23,4.37
139,1,6.07
140,15,11.38
140,1,3.53
140,23,9
141,12,12.34
141,19,8.04
142,7,4.36
142,17,10.94
142,23,9.4
142,11,5.55
142,16,4.82
143,7,5.02
143,16,11.74
143,12,12.94
144,10,11.65
144,13,8.98
145,19,7.18
145,22,5.55
145,2,7.64
145,6,12.51
147,2,5.71
147,7,9.28
147,16,3.37
148,13,11.97
148,21,12.63
148,7,10.23
149,20,11.34
150,10,10.6
150,19,11.87
150,23,12.13
151,15,13.66
151,24,10.61
151,13,5.1
151,20,12.94
152,23,5.78
152,19,3.92
152,13,4.51
152,14,6.7
152,15,11.81
152,25,11.31
153,13,9.75
153,23,3.5
153,15,9.02
153,2,13.68
153,19,5.75
154,15,5.71
154,19,12.12
154,17,9.83
154,24,11.62
154,11,2.33
155,5,2.19
155,22,9.47
155,13,6.9
156,4,6.98
156,10,8.46
156,9,5.87
156,16,10.69
156,19,14
156,23,12.6
157,24,2.62
157,22,8.39
158,24,3.41
158,19,6.26
159,6,13.95
159,23,12.96
160,14,2.85
160,7,2.82
160,1,4
161,13,13.69
161,25,13.05
161,20,10.4
162,22,13.03
162,24,8.83
162,11,11.33
163,4,6.17
163,10,11.61
163,20,12.31
164,23,6.13
164,15,12.09
164,6,3.33
165,5,4.04
165,14,4.68
165,22,10.75
165,10,9.22
166,18,5.82
166,23,8.07
166,20,2.75
167,19,12.14
167,13,3.65
167,15,5.67
167,8,2.89
168,21,2.61
168,13,3
168,1,10.53
168,17,13.83
169,2,7.26
169,20,12.99
170,12,7.07
170,16,2.71
170,7,10.68
170,21,6.93
171,2,9.82
171,23,13.93
171,8,11.14
171,13,3.79
171,10,5.37
171,24,3.46
172,24,2.81
172,15,13.4
172,10,2.73
172,2,6.15
173,11,9.66
173,15,3.93
173,24,6.33
173,16,12.15
174,7,9.21
174,15,2.97
175,19,6.09
175,17,6.23
176,8,2.81
176,1,10.22
176,20,5.27
176,15,2.07
176,11,7.62
177,22,3.05
178,13,5.44
178,2,12.57
178,14,6.07
178,4,11.28
178,17,9.53
178,1,4.65
178,20,9.98
179,23,3.5
179,10,12.24
179,14,9.06
180,25,13.06